"ascii_id_company","name_internat","name_native","postcode","city","city_native","country","country_iso_code","website_address","operating_revenue_turnover","number_of_employees"
"BglnKaBRX9Gn2+abbbYdww==","L.A.E.B. S.R.L. Laboratory, Assembly, Electrical, Board IN Forma Abbreviata L.A.E.B. S.R.L.","L.A.E.B. S.R.L. Laboratory, Assembly, Electrical, Board IN Forma Abbreviata L.A.E.B. S.R.L.","23896","Sirtori","Sirtori","Italy","IT","www.laeb.it",5268224,12
"BjheVJkbXY+QW2NSWO/CDw==","EM-motive GmbH","EM-motive GmbH","31139","Hildesheim","Hildesheim","Germany","DE","www.em-motive.com",143431800,298
"BjqOB01yVme3MNjjczXXmA==","Asyst Technologies INC","Asyst Technologies INC","95056","Santa Clara","Santa Clara","United States of America","US","www.asyst.com",612987000,820
"Bndys2MyUbaSuYWs3sBLAA==","Zhejiang panshi electronics co., ltd.","浙江磐石电子有限公司","000000","Jiaxing","嘉兴市","China","CN","www.astonepro.com",13924360,NA
"Bo5yS532U0ekVY8RJ6MAvQ==","Fairchild Corporation (The)","Fairchild Corporation (The)","22102","Mclean","Mclean","United States of America","US","www.fairchild.com",747684000,3900
"BoB0viECWnuHulIPON5C9g==","Chloride Espana SA","Chloride España SA","28108","Alcobendas","Alcobendas","Spain","ES","www.chloridepower.com/es/spain",37383678,130
"BrTEsXqCUSm+bos6twtvTQ==","China automation group limited","中国自动化集团有限公司","000000","","","China","CN","www.cag.com.hk",313533266,NA
"BwSLP4IjWVSc5D52VFib3Q==","Miris AS","Miris AS","1597","Moss","Moss","Norway","NO","www.miris.no",5136690,NA
"BwScxbbCXUm1WCVIm7XaYA==","Steco, LTD","스테코(주)","31093","Cheonan-si","Cheonan-si","Republic of Korea","KR","www.steco.co.kr",379294676,731
"BxlB6zCnVA6XXHcDqSfkJg==","Anhui tianzhang an zhang electronic factory","安徽省天长市安长电子厂","239300","Chuzhou","滁州市","China","CN","anchangdianzi.b2b.hc360.com",337858582,26
"Bxsul9PsUse6jLDEMR63+g==","Knight Auto Precision Engineering PTE LTD","Knight Auto Precision Engineering PTE LTD","608835","Singapore","Singapore","Singapore","SG","www.knightap.com",25894393,NA
"ByvU1QgFVZKZSancT9WzNw==","Tamura Corporation","株式会社タムラ製作所","178-0063","Nerima-Ku","Nerima-Ku","Japan","JP","www.tamura-ss.co.jp",940231282,6713
"C1PBp433UqGIhHY7/Yca1g==","Gemvax & Kael Co.,Ltd","(주)젬백스&카엘","34036","Daejeon","Daejeon","Republic of Korea","KR","www.gemvax.com",91922997,NA
"C3VM9a5XUpej11mrpUOVsw==","M-Mos Semiconductor SDN BHD","M-Mos Semiconductor SDN BHD","93350","Kuching, Sarawak","Kuching, Sarawak","Malaysia","MY","www.m-mos.com",19856647,NA
"C4p7nleSVUamLZwpZfoxCQ==","Millennium microtech (shanghai) co., ltd.","上海纪元微科电子有限公司","200120","Shanghai","上海市","China","CN","www.m-microtech.cn",40541753,NA
"C6/IqlTwURixOMilZSwiTQ==","Nice sun pv co., ltd.","无锡嘉瑞光伏有限公司","214200","Wuxi","无锡市","China","CN","www.nicesunpv.com",100056221,NA
"C6xUquYbVzCjLT9BHGwgOw==","Taiwan IC Packaging Corporation","台灣典範半導體股份有限公司","806","Kaohsiung City","高雄市前鎮區","Taiwan, China","TW","www.ticp.com.tw",124400046,1400
"C7JihuleXb62rrIbX3lngQ==","Epir Technologies INC","Epir Technologies INC","60440-3542","Bolingbrook","Bolingbrook","United States of America","US","www.epir.com",8740000,43
"C8K3waglWbW2KIMj+WeACg==","Yinchuan longi silicon materials co., ltd.","银川隆基硅材料有限公司","750000","Yinchuan","银川市","China","CN","www.longi-silicon.com",1216122622,4200
"C8RIWreGUNKgge3P7Q0r4w==","Vtron group co.,ltd.","威创集团股份有限公司","510700","Guangzhou","广州市","China","CN","www.vtron.com",189934331,1274
"C9FgrLiPVOavITxUcDc0dQ==","Shanghai fato group co., ltd.","上海华通企业集团有限公司","201703","Shanghai","上海市","China","CN","www.shfato.com",38291990,220
"C9okIizoX7emgLovtMj7Ig==","Zhejiang dongya electronic co.,ltd.","浙江东亚电子有限公司","000000","Wenzhou","温州市","China","CN","www.cndongya.com",19080934,316
"CCM35E9iXCqMdOnD8YJhmw==","Sunflex electronics (shenzhen) co., ltd.","旭软电子(深圳)有限公司","000000","Shenzhen","深圳市","China","CN","www.sunflex.com.tw",19047557,NA
"CEnqLyUwUW6sfxrQtwRYhQ==","Therma Wave INC","Therma Wave INC","94539","Fremont","Fremont","United States of America","US","www.thermawave.com",198199000,555
"CIgXMjeTWnudfCE7lbFscQ==","Cymatix, Inc.","Cymatix, Inc.","94952-6515","Petaluma","Petaluma","United States of America","US","www.cymatix.com",9200000,12
"CIpcrj8MVoqxjS7K2INQxg==","Applied Materials Ireland Limited","Applied Materials Ireland Limited","W23 Y7X0","Kildare","Kildare","Ireland","IE","publish-p33711-e119406.adobeaemcloud.com",22030282,105
"CUnO6UNEXJCvHY5MINiMpA==","Silicon Application Corp.","品佳股份有限公司","115","Taipei City","台北市南港區","Taiwan, China","TW","www.sacsys.com.tw",885248847,NA
"CVKWkoUdXBOHKr5kIqQVYw==","Rubycon Corporation","ルビコン株式会社","399-4501","Ina-Shi","Ina-Shi","Japan","JP","www.rubycon.com",586888549,NA
"CVx+Y7FYXX+oepsrtwpCyA==","Autonics electronic (jiaxing) corporation","奥托尼克斯电子(嘉兴)有限公司","314000","Jiaxing","嘉兴市","China","CN","www.autonics.com",27443210,NA
"CXs6laFeVDSLloSos3l/VQ==","Precision Flow Technologies INC","Precision Flow Technologies INC","12477-4386","Saugerties","Saugerties","United States of America","US","www.precisionflow.com",490000,110
"CXyjuZK/XRu1+Ce2TSG3Dg==","Ys.Co., Ltd.","ワイエス株式会社","920-0371","Kanazawa-Shi","Kanazawa-Shi","Japan","JP","yscoltd.com",18698061,NA
"CYjG7bBxXJeQPnJC7Z3pjw==","Aac acostic technologies (changzhou) co., ltd.","瑞声声学科技(常州)有限公司","213161","Changzhou","常州市","China","CN","www.aactechnologies.com",1003220010,NA
